Country Name,Country Code,Time,Time Code,Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]",Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"
Indonesia,IDN,2017,YR2017,75.5,8.15006733,21.5,19.1,23.7,51.83114059,16.9555634840925
Indonesia,IDN,2018,YR2018,78.9,8.36061573,20.7,18.4,22.9,54.47545987,18.4371895829409
Indonesia,IDN,2019,YR2019,82.1,8.5572319,20,17.8,22.1,58.03070066,19.4270918962783
Indonesia,IDN,2020,YR2020,84.8,10.16993046,19.4,17.2,21.4,73.52028129,17.8814994983985
Cambodia,KHM,2000,YR2000,3.5,8.59173584,79,71.2,86.4,3.9108652,29.7987214798005
Cambodia,KHM,2001,YR2001,4.1,7.83031797,73.4,65.9,80.5,3.83366,29.9057244650667
Cambodia,KHM,2002,YR2002,4.6,8.29783154,67.3,60.1,74.1,4.78276927,30.0191592913356
Cambodia,KHM,2003,YR2003,5.2,9.43044281,61.7,55,68.1,5.41792825,30.098509540539
Cambodia,KHM,2004,YR2004,6.1,9.90109062,56.9,50.7,62.9,5.6295423,30.1032587946087
Cambodia,KHM,2005,YR2005,6.8,9.89736652,52.9,46.9,58.5,5.79834105,29.9928906354765
Cambodia,KHM,2006,YR2006,7.5,7.41110468,49.4,43.7,54.7,5.18110932,29.6130476724133
Cambodia,KHM,2007,YR2007,8.4,6.7482748,46.3,40.9,51.4,6.12279395,28.8642622907811
Cambodia,KHM,2008,YR2008,9.4,6.6590457,43.2,38.2,48,7.60447232,27.7883527366484
Cambodia,KHM,2009,YR2009,10.4,5.96768332,40.2,35.4,44.6,8.94553451,26.427137256084
Cambodia,KHM,2010,YR2010,11.5,6.51964235,37.3,32.8,41.6,10.66683236,24.8224340951565
Cambodia,KHM,2011,YR2011,12.9,6.21460676,34.6,30.4,38.6,11.26683936,21.6807107694691
Cambodia,KHM,2012,YR2012,14.5,6.48858452,32.2,28.3,35.9,13.37046678,22.9965791117395
Cambodia,KHM,2013,YR2013,16.1,6.64391565,30.2,26.5,33.7,14.41165201,25.7785023524529
Cambodia,KHM,2014,YR2014,18.2,5.70839739,28.6,25.1,31.9,13.61362123,22.1052880421246
Cambodia,KHM,2015,YR2015,20.7,6.63314915,27.1,23.8,30.3,15.74241007,21.599028896344
Cambodia,KHM,2016,YR2016,23.4,6.31595898,25.9,22.7,28.9,17.08757997,22.4071810127085
Cambodia,KHM,2017,YR2017,26.9,6.70265007,24.7,21.7,27.6,20.99161095,20.7075312769695
Cambodia,KHM,2018,YR2018,31.2,7.07836199,23.6,20.8,26.4,25.01248003,22.9919425508182
Cambodia,KHM,2019,YR2019,35.7,6.99097633,22.7,20,25.4,27.82877061,22.9738017157091
Cambodia,KHM,2020,YR2020,41.3,6.99097633,21.9,19.2,24.4,30.14314963,24.1436022803452
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,
